Hotel_ID,Hotel_Name,Raw_Hotel_Name,Location,City,State,Landmark,Address
85,Capital O Elegant Amethyst Business Hotel,Capital O Elegant Amethyst Business Hotel Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,Bangalore,Bangalore,Karnataka,Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Ragigudda Sri Prasanna Anjaneyaswamy Temple, Bangalore, Karnataka"
230,OYO One Hotel,OYO One Hotel,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
245,Capital O Premium Hotel Victoria Heights,Capital O Premium Hotel Victoria Heights Near Sri Someshwara Swami Temple,Bangalore,Bangalore,Karnataka,Near Sri Someshwara Swami Temple,"Near Sri Someshwara Swami Temple, Bangalore, Karnataka"
372,Townhouse OAK Grand Regency,Townhouse OAK Grand Regency Near ISKCON temple Bangalore,Bangalore,Bangalore,Karnataka,Near ISKCON temple Bangalore,"Near ISKCON temple Bangalore, Karnataka"
467,Capital O Santi Inn,Capital O Santi Inn,Delhi_Transit,Delhi (Transit),Delhi,"Near IGI Airport, Mahipalpur","Near IGI Airport, Mahipalpur, Delhi"
495,Flagship Aravali Residency,Flagship Aravali Residency,Manesar,Manesar,Haryana,,"Manesar, Haryana"
541,OYO Townhouse 916 Hotel Tatva,OYO Townhouse 916 Hotel Tatva,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
682,Flagship Hotel Crystal,Flagship Hotel Crystal,Ahmedabad,Ahmedabad,Gujarat,,"Ahmedabad, Gujarat"
894,Super OYO Kings 10,Super OYO Kings 10 Near Snow City,Bangalore,Bangalore,Karnataka,Near Snow City,"Near Snow City, Bangalore, Karnataka"
968,OYO Hotel Kadamb Inn,OYO Hotel Kadamb Inn,Ahmedabad,Ahmedabad,Gujarat,,"Ahmedabad, Gujarat"
976,Super OYO Hotel Silver Plaza,Super OYO Hotel Silver Plaza,Ahmedabad,Ahmedabad,Gujarat,,"Ahmedabad, Gujarat"
1001,OYO Flagship 917 Hotel Imperial,OYO Flagship 917 Hotel Imperial,Delhi_Transit,Delhi (Transit),Delhi,"Near IGI Airport, Mahipalpur","Near IGI Airport, Mahipalpur, Delhi"
1177,Collection O Hotel Shri Sai Residency,Collection O Hotel Shri Sai Residency,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
1492,FLAGSHIP Raaj Residency,FLAGSHIP Raaj Residency,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
1528,Super OYO Townhouse Oak 1271 Hotel Raajpath,Super OYO Townhouse Oak 1271 Hotel Raajpath,Vadodara,Vadodara,Gujarat,,"Vadodara, Gujarat"
1561,Collection O O 1299 Hotel Mukut Regency,Collection O O 1299 Hotel Mukut Regency,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
1766,OYO Townhouse 945 Hotel Rk Palace,OYO Townhouse 945 Hotel Rk Palace,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
1878,NIMALAN RESIDENCY,NIMALAN RESIDENCY,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
